date,title,size,detail_url,pdf_url,page_no,scraped_at
"Apr 17, 2026","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 3 Entries",248 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13372&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT1383981D2B9436464CAAF37AFF9FABF21C.PDF,1,2026-04-18T23:50:48.380049
"Apr 15, 2026","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 04 Entries",250 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13371&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT12418472C86AEE41FBB4A2E7A60D7AA01A.PDF,1,2026-04-18T23:50:48.380049
"Apr 15, 2026","Reserve Bank of India (Non-Banking Financial Companies – Branch Authorisation) Amendment Directions, 2026",201 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13370&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT1147FF98720DA34366B92669755481F00E.PDF,1,2026-04-18T23:50:48.380049
"Apr 10, 2026","Master Direction - Reserve Bank of India (Non-resident Investment in Debt Instruments) Directions, 2025 – amendment",287 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13369&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT10BD72BEB5FFC146F8A132627547ECB89B.PDF,1,2026-04-18T23:50:48.380049
"Apr 10, 2026",Formation of new districts in the State of Andhra Pradesh – Assignment of Lead Bank Responsibility,379 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13368&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT09C558FF07BF994E39B619A6721950C715.PDF,1,2026-04-18T23:50:48.380049
"Apr 09, 2026",Guidelines to facilitate faster cross-border inward payments,209 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13367&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT083C6ADC9FA8C24AB29757536C709EA939.PDF,1,2026-04-18T23:50:48.380049
"Apr 06, 2026",Limits for investment in debt and sale of Credit Default Swaps by Foreign Portfolio Investors (FPIs),313 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13366&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT071E04EF8ADA5E444B865AFAC3F1AD85F5.PDF,1,2026-04-18T23:50:48.380049
"Apr 02, 2026","Floating Rate Savings Bonds, 2020 (Taxable) - FRSB 2020 (T) - Operational Guidelines",317 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13365&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/06NT29AAEE6D991D446B9142DF898BF21D68.PDF,1,2026-04-18T23:50:48.380049
"Apr 02, 2026",Memorandum of Instructions governing money changing activities – Location of Forex Counters in International Airports in India,136 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13364&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR04020420266F9D9C9439404E2AA9005E7A55A2B4D5.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026",Risk Management and Inter-Bank Dealings (Revised),303 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13363&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR04D586D4D4A17E42759C682D2F7513F918.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026",Master Direction – Facility for Exchange of Notes and Coins,502 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13362&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/395MDDCEE303B29F7409B867FAAEC10242C4A.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026","Master Direction on Counterfeit Notes – Detection, Reporting and Monitoring",626 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13361&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD39472AB49ECE87F40868FBB8F0714E1627F.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026",Master Direction on Incentives for Currency Distribution and Exchange and Penalties / Penal Provisions for Bank Branches and Currency Chests for Deficiency in Rendering Customer Service and Reporting of Transactions / Balances,451 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13360&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/393MD748717FE591F47CA86031C181677D39B.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026",Overseas Investment – Submission of References to the Reserve Bank,284 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13359&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/02APDIR01042026CC321D9006BC43E1B5E7FF31EC93E8D3.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026","Reporting under Foreign Exchange Management Act, 1999 – Returns pertaining to Foreign Exchange Management (Guarantees) Regulations, 2026",287 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13358&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR027C34873255BF491DA45D5776BEE4C3D4.PDF,1,2026-04-18T23:50:48.380049
"Apr 01, 2026","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Listing of 01 Entry",259 kb,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13357&Mode=0,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT01F2FA1289C0FE48F79E6D255501C222A3.PDF,1,2026-04-18T23:50:48.380049
